id,operation,admin0Name,admin0Pcode,admin1Name,admin1Pcode,admin2Name,admin2Pcode,adminLevel,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,assessmentType,operationStatus
#id+code,#operation+name,#country+name,#country+code,#adm1+name,#adm1+code,#adm2+name,#adm2+code,#adm+level,#affected+idps,#date+reported,#date+year+reported,#date+month+reported,#round+code,#assessment+type,#operation+status
2437662,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,,,1,11268,2023-11-21T00:00:00,2023,11,12,BA,Active
2438779,Displacement due to conflict,Lebanon,LBN,North,LB5,,,1,336,2023-11-21T00:00:00,2023,11,12,BA,Active
2438860,Displacement due to conflict,Lebanon,LBN,South,LB6,,,1,22932,2023-11-21T00:00:00,2023,11,12,BA,Active
2437500,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,,,1,6113,2023-11-21T00:00:00,2023,11,12,BA,Active
2436413,Displacement due to conflict,Lebanon,LBN,Akkar,LB7,,,1,105,2023-11-21T00:00:00,2023,11,12,BA,Active
2436494,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,,,1,2808,2023-11-21T00:00:00,2023,11,12,BA,Active
2437581,Displacement due to conflict,Lebanon,LBN,Bekaa,LB2,,,1,1733,2023-11-21T00:00:00,2023,11,12,BA,Active
2437582,Displacement due to conflict,Lebanon,LBN,Bekaa,LB2,,,1,1606,2023-11-28T00:00:00,2023,11,13,BA,Active
2436495,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,,,1,1566,2023-11-28T00:00:00,2023,11,13,BA,Active
2436414,Displacement due to conflict,Lebanon,LBN,Akkar,LB7,,,1,66,2023-11-28T00:00:00,2023,11,13,BA,Active
2437501,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,,,1,6120,2023-11-28T00:00:00,2023,11,13,BA,Active
2438861,Displacement due to conflict,Lebanon,LBN,South,LB6,,,1,24057,2023-11-28T00:00:00,2023,11,13,BA,Active
2438780,Displacement due to conflict,Lebanon,LBN,North,LB5,,,1,306,2023-11-28T00:00:00,2023,11,13,BA,Active
2437663,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,,,1,12479,2023-11-28T00:00:00,2023,11,13,BA,Active
2438699,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,,,1,8983,2023-11-28T00:00:00,2023,11,13,BA,Active
2438700,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,,,1,10235,2023-12-05T00:00:00,2023,12,14,BA,Active
2437664,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,,,1,13948,2023-12-05T00:00:00,2023,12,14,BA,Active
2438781,Displacement due to conflict,Lebanon,LBN,North,LB5,,,1,53,2023-12-05T00:00:00,2023,12,14,BA,Active
2438862,Displacement due to conflict,Lebanon,LBN,South,LB6,,,1,26358,2023-12-05T00:00:00,2023,12,14,BA,Active
2437502,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,,,1,5795,2023-12-05T00:00:00,2023,12,14,BA,Active
2436415,Displacement due to conflict,Lebanon,LBN,Akkar,LB7,,,1,69,2023-12-05T00:00:00,2023,12,14,BA,Active
2436496,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,,,1,1410,2023-12-05T00:00:00,2023,12,14,BA,Active
2437583,Displacement due to conflict,Lebanon,LBN,Bekaa,LB2,,,1,967,2023-12-05T00:00:00,2023,12,14,BA,Active
2437584,Displacement due to conflict,Lebanon,LBN,Bekaa,LB2,,,1,835,2023-12-12T00:00:00,2023,12,15,BA,Active
2436497,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,,,1,835,2023-12-12T00:00:00,2023,12,15,BA,Active
2436416,Displacement due to conflict,Lebanon,LBN,Akkar,LB7,,,1,122,2023-12-12T00:00:00,2023,12,15,BA,Active
2437503,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,,,1,6355,2023-12-12T00:00:00,2023,12,15,BA,Active
2438863,Displacement due to conflict,Lebanon,LBN,South,LB6,,,1,29266,2023-12-12T00:00:00,2023,12,15,BA,Active
2438782,Displacement due to conflict,Lebanon,LBN,North,LB5,,,1,26,2023-12-12T00:00:00,2023,12,15,BA,Active
2437665,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,,,1,16510,2023-12-12T00:00:00,2023,12,15,BA,Active
2438701,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,,,1,10104,2023-12-12T00:00:00,2023,12,15,BA,Active
2438702,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,,,1,10984,2023-12-19T00:00:00,2023,12,16,BA,Active
2437666,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,,,1,17583,2023-12-19T00:00:00,2023,12,16,BA,Active
2438783,Displacement due to conflict,Lebanon,LBN,North,LB5,,,1,26,2023-12-19T00:00:00,2023,12,16,BA,Active
2438864,Displacement due to conflict,Lebanon,LBN,South,LB6,,,1,33864,2023-12-19T00:00:00,2023,12,16,BA,Active
2437504,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,,,1,6890,2023-12-19T00:00:00,2023,12,16,BA,Active
2436417,Displacement due to conflict,Lebanon,LBN,Akkar,LB7,,,1,1112,2023-12-19T00:00:00,2023,12,16,BA,Active
2436498,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,,,1,1078,2023-12-19T00:00:00,2023,12,16,BA,Active
2437585,Displacement due to conflict,Lebanon,LBN,Bekaa,LB2,,,1,900,2023-12-19T00:00:00,2023,12,16,BA,Active
2437586,Displacement due to conflict,Lebanon,LBN,Bekaa,LB2,,,1,853,2023-12-26T00:00:00,2023,12,17,BA,Active
2436499,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,,,1,1028,2023-12-26T00:00:00,2023,12,17,BA,Active
